Parameter,Description
allow_in_place_tablespaces,"Allows tablespaces directly inside pg_tblspc, for testing."
allow_system_table_mods,Allows modifications of the structure of system tables.
application_name,Sets the application name to be reported in statistics and logs.
archive_cleanup_command,Sets the shell command that will be executed at every restart point.
archive_command,Sets the shell command that will be called to archive a WAL file.
archive_mode,Allows archiving of WAL files using archive_command.
archive_timeout,Forces a switch to the next WAL file if a new file has not been started within N seconds.
array_nulls,Enable input of NULL elements in arrays.
authentication_timeout,Sets the maximum allowed time to complete client authentication.
autovacuum,Starts the autovacuum subprocess.
autovacuum_analyze_scale_factor,"Number of tuple inserts, updates, or deletes prior to analyze as a fraction of reltuples."
autovacuum_analyze_threshold,"Minimum number of tuple inserts, updates, or deletes prior to analyze."
autovacuum_freeze_max_age,Age at which to autovacuum a table to prevent transaction ID wraparound.
autovacuum_max_workers,Sets the maximum number of simultaneously running autovacuum worker processes.
autovacuum_multixact_freeze_max_age,Multixact age at which to autovacuum a table to prevent multixact wraparound.
autovacuum_naptime,Time to sleep between autovacuum runs.
autovacuum_vacuum_cost_delay,"Vacuum cost delay in milliseconds, for autovacuum."
autovacuum_vacuum_cost_limit,"Vacuum cost amount available before napping, for autovacuum."
autovacuum_vacuum_insert_scale_factor,Number of tuple inserts prior to vacuum as a fraction of reltuples.
autovacuum_vacuum_insert_threshold,"Minimum number of tuple inserts prior to vacuum, or -1 to disable insert vacuums."
autovacuum_vacuum_scale_factor,Number of tuple updates or deletes prior to vacuum as a fraction of reltuples.
autovacuum_vacuum_threshold,Minimum number of tuple updates or deletes prior to vacuum.
autovacuum_work_mem,Sets the maximum memory to be used by each autovacuum worker process.
backend_flush_after,Number of pages after which previously performed writes are flushed to disk.
backslash_quote,"Sets whether ""'"" is allowed in string literals."
backtrace_functions,Log backtrace for errors in these functions.
bgwriter_delay,Background writer sleep time between rounds.
bgwriter_flush_after,Number of pages after which previously performed writes are flushed to disk.
bgwriter_lru_maxpages,Background writer maximum number of LRU pages to flush per round.
bgwriter_lru_multiplier,Multiple of the average buffer usage to free per round.
block_size,Shows the size of a disk block.
bonjour,Enables advertising the server via Bonjour.
bonjour_name,Sets the Bonjour service name.
bytea_output,Sets the output format for bytea.
check_function_bodies,Check routine bodies during CREATE FUNCTION and CREATE PROCEDURE.
checkpoint_completion_target,"Time spent flushing dirty buffers during checkpoint, as fraction of checkpoint interval."
checkpoint_flush_after,Number of pages after which previously performed writes are flushed to disk.
checkpoint_timeout,Sets the maximum time between automatic WAL checkpoints.
checkpoint_warning,Enables warnings if checkpoint segments are filled more frequently than this.
client_connection_check_interval,Sets the time interval between checks for disconnection while running queries.
client_encoding,Sets the client's character set encoding.
client_min_messages,Sets the message levels that are sent to the client.
cluster_name,"Sets the name of the cluster, which is included in the process title."
commit_delay,Sets the delay in microseconds between transaction commit and flushing WAL to disk.
commit_siblings,Sets the minimum concurrent open transactions before performing commit_delay.
compute_query_id,Compute query identifiers.
constraint_exclusion,Enables the planner to use constraints to optimize queries.
cpu_index_tuple_cost,Sets the planner's estimate of the cost of processing each index entry during an index scan.
cpu_operator_cost,Sets the planner's estimate of the cost of processing each operator or function call.
cpu_tuple_cost,Sets the planner's estimate of the cost of processing each tuple (row).
cursor_tuple_fraction,Sets the planner's estimate of the fraction of a cursor's rows that will be retrieved.
data_checksums,Shows whether data checksums are turned on for this cluster.
data_directory_mode,Shows the mode of the data directory.
data_sync_retry,Whether to continue running after a failure to sync data files.
DateStyle,Sets the display format for date and time values.
db_user_namespace,Enables per-database user names.
deadlock_timeout,Sets the time to wait on a lock before checking for deadlock.
debug_assertions,Shows whether the running server has assertion checks enabled.
debug_discard_caches,Aggressively flush system caches for debugging purposes.
debug_pretty_print,Indents parse and plan tree displays.
debug_print_parse,Logs each query's parse tree.
debug_print_plan,Logs each query's execution plan.
debug_print_rewritten,Logs each query's rewritten parse tree.
default_statistics_target,Sets the default statistics target.
default_table_access_method,Sets the default table access method for new tables.
default_tablespace,Sets the default tablespace to create tables and indexes in.
default_text_search_config,Sets default text search configuration.
default_toast_compression,Sets the default compression method for compressible values.
default_transaction_deferrable,Sets the default deferrable status of new transactions.
default_transaction_isolation,Sets the transaction isolation level of each new transaction.
default_transaction_read_only,Sets the default read-only status of new transactions.
dynamic_shared_memory_type,Selects the dynamic shared memory implementation used.
effective_cache_size,Sets the planner's assumption about the total size of the data caches.
effective_io_concurrency,Number of simultaneous requests that can be handled efficiently by the disk subsystem.
enable_async_append,Enables the planner's use of async append plans.
enable_bitmapscan,Enables the planner's use of bitmap-scan plans.
enable_gathermerge,Enables the planner's use of gather merge plans.
enable_hashagg,Enables the planner's use of hashed aggregation plans.
enable_hashjoin,Enables the planner's use of hash join plans.
enable_incremental_sort,Enables the planner's use of incremental sort steps.
enable_indexonlyscan,Enables the planner's use of index-only-scan plans.
enable_indexscan,Enables the planner's use of index-scan plans.
enable_material,Enables the planner's use of materialization.
enable_memoize,Enables the planner's use of memoization.
enable_mergejoin,Enables the planner's use of merge join plans.
enable_nestloop,Enables the planner's use of nested-loop join plans.
enable_parallel_append,Enables the planner's use of parallel append plans.
enable_parallel_hash,Enables the planner's use of parallel hash plans.
enable_partition_pruning,Enables plan-time and execution-time partition pruning.
enable_partitionwise_aggregate,Enables partitionwise aggregation and grouping.
enable_partitionwise_join,Enables partitionwise join.
enable_seqscan,Enables the planner's use of sequential-scan plans.
enable_sort,Enables the planner's use of explicit sort steps.
enable_tidscan,Enables the planner's use of TID scan plans.
escape_string_warning,Warn about backslash escapes in ordinary string literals.
event_source,Sets the application name used to identify PostgreSQL messages in the event log.
exit_on_error,Terminate session on any error.
extra_float_digits,Sets the number of digits displayed for floating-point values.
force_parallel_mode,Forces use of parallel query facilities.
from_collapse_limit,Sets the FROM-list size beyond which subqueries are not collapsed.
fsync,Forces synchronization of updates to disk.
full_page_writes,Writes full pages to WAL when first modified after a checkpoint.
geqo,Enables genetic query optimization.
geqo_effort,GEQO: effort is used to set the default for other GEQO parameters.
geqo_generations,GEQO: number of iterations of the algorithm.
geqo_pool_size,GEQO: number of individuals in the population.
geqo_seed,GEQO: seed for random path selection.
geqo_selection_bias,GEQO: selective pressure within the population.
geqo_threshold,Sets the threshold of FROM items beyond which GEQO is used.
gin_fuzzy_search_limit,Sets the maximum allowed result for exact search by GIN.
gin_pending_list_limit,Sets the maximum size of the pending list for GIN index.
hash_mem_multiplier,Multiple of work_mem to use for hash tables.
hot_standby,Allows connections and queries during recovery.
hot_standby_feedback,Allows feedback from a hot standby to the primary that will avoid query conflicts.
huge_page_size,The size of huge page that should be requested.
huge_pages,Use of huge pages on Linux or Windows.
idle_in_transaction_session_timeout,"Sets the maximum allowed idle time between queries, when in a transaction."
idle_session_timeout,"Sets the maximum allowed idle time between queries, when not in a transaction."
ignore_checksum_failure,Continues processing after a checksum failure.
ignore_invalid_pages,Continues recovery after an invalid pages failure.
ignore_system_indexes,Disables reading from system indexes.
in_hot_standby,Shows whether hot standby is currently active.
integer_datetimes,Shows whether datetimes are integer based.
IntervalStyle,Sets the display format for interval values.
jit,Allow JIT compilation.
jit_above_cost,Perform JIT compilation if query is more expensive.
jit_debugging_support,Register JIT-compiled functions with debugger.
jit_dump_bitcode,Write out LLVM bitcode to facilitate JIT debugging.
jit_expressions,Allow JIT compilation of expressions.
jit_inline_above_cost,Perform JIT inlining if query is more expensive.
jit_optimize_above_cost,Optimize JIT-compiled functions if query is more expensive.
jit_profiling_support,Register JIT-compiled functions with perf profiler.
jit_tuple_deforming,Allow JIT compilation of tuple deforming.
join_collapse_limit,Sets the FROM-list size beyond which JOIN constructs are not flattened.
krb_caseins_users,Sets whether Kerberos and GSSAPI user names should be treated as case-insensitive.
lc_collate,Shows the collation order locale.
lc_ctype,Shows the character classification and case conversion locale.
lc_messages,Sets the language in which messages are displayed.
lc_monetary,Sets the locale for formatting monetary amounts.
lc_numeric,Sets the locale for formatting numbers.
lc_time,Sets the locale for formatting date and time values.
listen_addresses,Sets the host name or IP address(es) to listen to.
lo_compat_privileges,Enables backward compatibility mode for privilege checks on large objects.
local_preload_libraries,Lists unprivileged shared libraries to preload into each backend.
lock_timeout,Sets the maximum allowed duration of any wait for a lock.
log_autovacuum_min_duration,Sets the minimum execution time above which autovacuum actions will be logged.
log_checkpoints,Logs each checkpoint.
log_connections,Logs each successful connection.
log_destination,Sets the destination for server log output.
log_disconnections,"Logs end of a session, including duration."
log_duration,Logs the duration of each completed SQL statement.
log_error_verbosity,Sets the verbosity of logged messages.
log_executor_stats,Writes executor performance statistics to the server log.
log_file_mode,Sets the file permissions for log files.
log_hostname,Logs the host name in the connection logs.
log_line_prefix,Controls information prefixed to each log line.
log_lock_waits,Logs long lock waits.
log_min_duration_sample,Sets the minimum execution time above which a sample of statements will be logged. Sampling is determined by log_statement_sample_rate.
log_min_duration_statement,Sets the minimum execution time above which all statements will be logged.
log_min_error_statement,Causes all statements generating error at or above this level to be logged.
log_min_messages,Sets the message levels that are logged.
log_parameter_max_length,"When logging statements, limit logged parameter values to first N bytes."
log_parameter_max_length_on_error,"When reporting an error, limit logged parameter values to first N bytes."
log_parser_stats,Writes parser performance statistics to the server log.
log_planner_stats,Writes planner performance statistics to the server log.
log_recovery_conflict_waits,Logs standby recovery conflict waits.
log_replication_commands,Logs each replication command.
log_rotation_age,Automatic log file rotation will occur after N minutes.
log_rotation_size,Automatic log file rotation will occur after N kilobytes.
log_statement,Sets the type of statements logged.
log_statement_sample_rate,Fraction of statements exceeding log_min_duration_sample to be logged.
log_statement_stats,Writes cumulative performance statistics to the server log.
log_temp_files,Log the use of temporary files larger than this number of kilobytes.
log_timezone,Sets the time zone to use in log messages.
log_transaction_sample_rate,Sets the fraction of transactions from which to log all statements.
log_truncate_on_rotation,Truncate existing log files of same name during log rotation.
logging_collector,Start a subprocess to capture stderr output and/or csvlogs into log files.
logical_decoding_work_mem,Sets the maximum memory to be used for logical decoding.
maintenance_io_concurrency,A variant of effective_io_concurrency that is used for maintenance work.
maintenance_work_mem,Sets the maximum memory to be used for maintenance operations.
max_connections,Sets the maximum number of concurrent connections.
max_files_per_process,Sets the maximum number of simultaneously open files for each server process.
max_function_args,Shows the maximum number of function arguments.
max_identifier_length,Shows the maximum identifier length.
max_index_keys,Shows the maximum number of index keys.
max_locks_per_transaction,Sets the maximum number of locks per transaction.
max_logical_replication_workers,Maximum number of logical replication worker processes.
max_parallel_maintenance_workers,Sets the maximum number of parallel processes per maintenance operation.
max_parallel_workers,Sets the maximum number of parallel workers that can be active at one time.
max_parallel_workers_per_gather,Sets the maximum number of parallel processes per executor node.
max_pred_locks_per_page,Sets the maximum number of predicate-locked tuples per page.
max_pred_locks_per_relation,Sets the maximum number of predicate-locked pages and tuples per relation.
max_pred_locks_per_transaction,Sets the maximum number of predicate locks per transaction.
max_prepared_transactions,Sets the maximum number of simultaneously prepared transactions.
max_replication_slots,Sets the maximum number of simultaneously defined replication slots.
max_slot_wal_keep_size,Sets the maximum WAL size that can be reserved by replication slots.
max_stack_depth,"Sets the maximum stack depth, in kilobytes."
max_standby_archive_delay,Sets the maximum delay before canceling queries when a hot standby server is processing archived WAL data.
max_standby_streaming_delay,Sets the maximum delay before canceling queries when a hot standby server is processing streamed WAL data.
max_sync_workers_per_subscription,Maximum number of table synchronization workers per subscription.
max_wal_senders,Sets the maximum number of simultaneously running WAL sender processes.
max_wal_size,Sets the WAL size that triggers a checkpoint.
max_worker_processes,Maximum number of concurrent worker processes.
min_dynamic_shared_memory,Amount of dynamic shared memory reserved at startup.
min_parallel_index_scan_size,Sets the minimum amount of index data for a parallel scan.
min_parallel_table_scan_size,Sets the minimum amount of table data for a parallel scan.
min_wal_size,Sets the minimum size to shrink the WAL to.
old_snapshot_threshold,Time before a snapshot is too old to read pages changed after the snapshot was taken.
parallel_leader_participation,Controls whether Gather and Gather Merge also run subplans.
parallel_setup_cost,Sets the planner's estimate of the cost of starting up worker processes for parallel query.
parallel_tuple_cost,Sets the planner's estimate of the cost of passing each tuple (row) from worker to leader backend.
password_encryption,Chooses the algorithm for encrypting passwords.
plan_cache_mode,Controls the planner's selection of custom or generic plan.
port,Sets the TCP port the server listens on.
post_auth_delay,Waits N seconds on connection startup after authentication.
pre_auth_delay,Waits N seconds on connection startup before authentication.
primary_slot_name,Sets the name of the replication slot to use on the sending server.
promote_trigger_file,Specifies a file name whose presence ends recovery in the standby.
quote_all_identifiers,"When generating SQL fragments, quote all identifiers."
random_page_cost,Sets the planner's estimate of the cost of a nonsequentially fetched disk page.
recovery_end_command,Sets the shell command that will be executed once at the end of recovery.
recovery_init_sync_method,Sets the method for synchronizing the data directory before crash recovery.
recovery_min_apply_delay,Sets the minimum delay for applying changes during recovery.
recovery_target,"Set to ""immediate"" to end recovery as soon as a consistent state is reached."
recovery_target_action,Sets the action to perform upon reaching the recovery target.
recovery_target_inclusive,Sets whether to include or exclude transaction with recovery target.
recovery_target_lsn,Sets the LSN of the write-ahead log location up to which recovery will proceed.
recovery_target_name,Sets the named restore point up to which recovery will proceed.
recovery_target_time,Sets the time stamp up to which recovery will proceed.
recovery_target_timeline,Specifies the timeline to recover into.
recovery_target_xid,Sets the transaction ID up to which recovery will proceed.
remove_temp_files_after_crash,Remove temporary files after backend crash.
restart_after_crash,Reinitialize server after backend crash.
restore_command,Sets the shell command that will be called to retrieve an archived WAL file.
row_security,Enable row security.
search_path,Sets the schema search order for names that are not schema-qualified.
segment_size,Shows the number of pages per disk file.
seq_page_cost,Sets the planner's estimate of the cost of a sequentially fetched disk page.
server_encoding,Shows the server (database) character set encoding.
server_version,Shows the server version.
server_version_num,Shows the server version as an integer.
session_replication_role,Sets the session's behavior for triggers and rewrite rules.
shared_buffers,Sets the number of shared memory buffers used by the server.
shared_memory_type,Selects the shared memory implementation used for the main shared memory region.
ssl,Enables SSL connections.
ssl_ca_file,Location of the SSL certificate authority file.
ssl_cert_file,Location of the SSL server certificate file.
ssl_crl_dir,Location of the SSL certificate revocation list directory.
ssl_crl_file,Location of the SSL certificate revocation list file.
ssl_key_file,Location of the SSL server private key file.
ssl_library,Shows the name of the SSL library.
ssl_passphrase_command_supports_reload,Also use ssl_passphrase_command during server reload.
ssl_prefer_server_ciphers,Give priority to server ciphersuite order.
standard_conforming_strings,Causes '...' strings to treat backslashes literally.
statement_timeout,Sets the maximum allowed duration of any statement.
superuser_reserved_connections,Sets the number of connection slots reserved for superusers.
synchronize_seqscans,Enable synchronized sequential scans.
synchronous_commit,Sets the current transaction's synchronization level.
synchronous_standby_names,Number of synchronous standbys and list of names of potential synchronous ones.
syslog_facility,"Sets the syslog ""facility"" to be used when syslog enabled."
syslog_ident,Sets the program name used to identify PostgreSQL messages in syslog.
syslog_sequence_numbers,Add sequence number to syslog messages to avoid duplicate suppression.
syslog_split_messages,Split messages sent to syslog by lines and to fit into 1024 bytes.
tcp_keepalives_count,Maximum number of TCP keepalive retransmits.
tcp_keepalives_idle,Time between issuing TCP keepalives.
tcp_keepalives_interval,Time between TCP keepalive retransmits.
tcp_user_timeout,TCP user timeout.
temp_buffers,Sets the maximum number of temporary buffers used by each session.
temp_file_limit,Limits the total size of all temporary files used by each process.
temp_tablespaces,Sets the tablespace(s) to use for temporary tables and sort files.
TimeZone,Sets the time zone for displaying and interpreting time stamps.
timezone_abbreviations,Selects a file of time zone abbreviations.
trace_notify,Generates debugging output for LISTEN and NOTIFY.
trace_recovery_messages,Enables logging of recovery-related debugging information.
trace_sort,Emit information about resource usage in sorting.
track_activities,Collects information about executing commands.
track_activity_query_size,"Sets the size reserved for pg_stat_activity.query, in bytes."
track_commit_timestamp,Collects transaction commit time.
track_counts,Collects statistics on database activity.
track_functions,Collects function-level statistics on database activity.
track_io_timing,Collects timing statistics for database I/O activity.
track_wal_io_timing,Collects timing statistics for WAL I/O activity.
transaction_deferrable,Whether to defer a read-only serializable transaction until it can be executed with no possible serialization failures.
transaction_isolation,Sets the current transaction's isolation level.
transaction_read_only,Sets the current transaction's read-only status.
transform_null_equals,"Treats ""expr=NULL"" as ""expr IS NULL""."
unix_socket_group,Sets the owning group of the Unix-domain socket.
unix_socket_permissions,Sets the access permissions of the Unix-domain socket.
update_process_title,Updates the process title to show the active SQL command.
vacuum_cost_delay,Vacuum cost delay in milliseconds.
vacuum_cost_limit,Vacuum cost amount available before napping.
vacuum_cost_page_dirty,Vacuum cost for a page dirtied by vacuum.
vacuum_cost_page_hit,Vacuum cost for a page found in the buffer cache.
vacuum_cost_page_miss,Vacuum cost for a page not found in the buffer cache.
vacuum_defer_cleanup_age,"Number of transactions by which VACUUM and HOT cleanup should be deferred, if any."
vacuum_failsafe_age,Age at which VACUUM should trigger failsafe to avoid a wraparound outage.
vacuum_freeze_min_age,Minimum age at which VACUUM should freeze a table row.
vacuum_freeze_table_age,Age at which VACUUM should scan whole table to freeze tuples.
vacuum_multixact_failsafe_age,Multixact age at which VACUUM should trigger failsafe to avoid a wraparound outage.
vacuum_multixact_freeze_min_age,Minimum age at which VACUUM should freeze a MultiXactId in a table row.
vacuum_multixact_freeze_table_age,Multixact age at which VACUUM should scan whole table to freeze tuples.
wal_block_size,Shows the block size in the write ahead log.
wal_buffers,Sets the number of disk-page buffers in shared memory for WAL.
wal_compression,Compresses full-page writes written in WAL file.
wal_consistency_checking,Sets the WAL resource managers for which WAL consistency checks are done.
wal_init_zero,Writes zeroes to new WAL files before first use.
wal_keep_size,Sets the size of WAL files held for standby servers.
wal_level,Sets the level of information written to the WAL.
wal_log_hints,"Writes full pages to WAL when first modified after a checkpoint, even for a non-critical modification."
wal_receiver_create_temp_slot,Sets whether a WAL receiver should create a temporary replication slot if no permanent slot is configured.
wal_receiver_status_interval,Sets the maximum interval between WAL receiver status reports to the sending server.
wal_receiver_timeout,Sets the maximum wait time to receive data from the sending server.
wal_recycle,Recycles WAL files by renaming them.
wal_retrieve_retry_interval,Sets the time to wait before retrying to retrieve WAL after a failed attempt.
wal_segment_size,Shows the size of write ahead log segments.
wal_sender_timeout,Sets the maximum time to wait for WAL replication.
wal_skip_threshold,Minimum size of new file to fsync instead of writing WAL.
wal_sync_method,Selects the method used for forcing WAL updates to disk.
wal_writer_delay,Time between WAL flushes performed in the WAL writer.
wal_writer_flush_after,Amount of WAL written out by WAL writer that triggers a flush.
work_mem,Sets the maximum memory to be used for query workspaces.
xmlbinary,Sets how binary values are to be encoded in XML.
xmloption,Sets whether XML data in implicit parsing and serialization operations is to be considered as documents or content fragments.
zero_damaged_pages,Continues processing past damaged page headers.